price,location,house_type,rooms,bathrooms,rent_duration,property address,estate name,property size,condition,furnishing,pets,facilities,service charge,agency fee,legal and agreement fee,caution fee,housing quality,total rooms,parking space,smoking,parties,broker fee,new property,furnished
"₦ 350,000",none,Apartment,2 bedrooms,2 bathrooms,per annum,umubelle Awka.,umubelle axis,500 sqm,Newly Built,Unfurnished,Pets Allowed,"Pre Paid Meter,Dining Area,Wardrobe,Tiled Floor,Dishwasher,24 Hours Electricity,Balcony",,,,,,,,,,,,
"₦ 500,000","Lagos, Ikorodu",Block of Flats,3 bedrooms,3 bathrooms,per annum,Okeota ibeshe,Ajose okeota,700 sqm,Renovated,Furnished,No Pets,"Tiled Floor,Dining Area,Kitchen Shelf,Pop Ceiling,Wardrobe,Chandelier",,,,,,,,,,,,
"₦ 10,000,000","Lagos, Victoria Island",Apartment,3 bedrooms,3 bathrooms,per annum,Saduku,Vera,,Newly Built,Furnished,,"Balcony,Hot Water,Wardrobe,Dishwasher,Kitchen Shelf,24 Hours Electricity,Pre Paid Meter,Chandelier,Dining Area,Microwave,Tiled Floor,Kitchen Cabinets,Pop Ceiling,Apartment",,,,,,,,,,,,
"₦ 1,800,000","Lagos, Amuwo-Odofin",Apartment,3 bedrooms,4 bathrooms,per quarter,amuwo apple junction,olive,700 sqm,Newly Built,Semi-Furnished,Pets Allowed,"Dishwasher,Apartment,Hot Water,Kitchen Cabinets,24 Hours Electricity,Balcony,Wardrobe,Pop Ceiling,Chandelier,Tiled Floor,Kitchen Shelf,Dining Area",,,,,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Ikate",Duplex,3 bedrooms,3 bathrooms,per annum,ikate,ikate,,Newly Built,Semi-Furnished,,"24 Hours Electricity,Balcony,Wardrobe,Microwave,Tiled Floor,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Dining Area,Pre Paid Meter",Yes,,,,,,,,,,,
"₦ 1,615,640",none,Apartment,3 bedrooms,4 bathrooms,per annum,Off Alao Akala Expressway,Oluyole Area off Ring Road through Mobil,1200 sqm,Newly Built,Semi-Furnished,No Pets,"Tiled Floor,Wardrobe,Balcony,Kitchen Cabinets,Dining Area,Pre Paid Meter,Pop Ceiling,Kitchen Shelf,Hot Water",,,,,,,,,,,,
"₦ 600,000","Imo, Owerri",Apartment,3 bedrooms,4 bathrooms,per quarter,Behind Saga Suite New Owerri,,,Newly Built,Semi-Furnished,,"Tiled Floor,Pop Ceiling,Dining Area,Wardrobe,Kitchen Cabinets,Kitchen Shelf,Balcony,Pre Paid Meter",,,,,,,,,,,,
"₦ 2,500,000","Lagos, Gbagada, Medina",Block of Flats,3 bedrooms,4 bathrooms,per annum,abiola okeke,medina estate,800 sqm,Fairly Used,Furnished,,,,,,,,,,,,,,
"₦ 3,500,000","Lagos, Lekki, Osapa london",Block of Flats,3 bedrooms,3 bathrooms,per quarter,osapa london,osapa,,Newly Built,Unfurnished,,24 Hours Electricity,,,,,,,,,,,,
"₦ 2,000,000","Lagos, Ikeja, Omole Phase 1",Apartment,3 bedrooms,3 bathrooms,per annum,Omole Phase 1,Omole Phase 1,,Renovated,Unfurnished,No Pets,"Dining Area,Pop Ceiling,Chandelier,24 Hours Electricity,Kitchen Cabinets,Pre Paid Meter,Kitchen Shelf,Tiled Floor,Wardrobe,Balcony",Yes,10.0,,200000.0,,,,,,,,
"₦ 480,000",none,Block of Flats,3 bedrooms,2 bathrooms,per quarter,NTA apara link road,,,Fairly Used,Furnished,Pets Allowed,Pre Paid Meter,Yes,10.0,10.0,10.0,,,,,,,,
"₦ 10,000,000","Kaduna, Kaduna / Kaduna State",House,3 bedrooms,4 bathrooms,per annum,kaduna south,,,Fairly Used,Furnished,,"Kitchen Shelf,Dining Area,Kitchen Cabinets,Hot Water,Pre Paid Meter,Pop Ceiling,24 Hours Electricity,Chandelier",,,,,,,,,,,,
"₦ 3,500,000","Lagos, Lekki, Osapa london",Apartment,3 bedrooms,3 bathrooms,per annum,by acadia estate osapa,osapa london,,,Unfurnished,,,,,,,,,,,,,,
"₦ 700,000",none,Block of Flats,3 bedrooms,3 bathrooms,per annum,"8 iyabo osifeso street, abijo",casia estate,,Fairly Used,Semi-Furnished,No Pets,"Kitchen Cabinets,Tiled Floor,Wardrobe,Pre Paid Meter,Kitchen Shelf,Pop Ceiling,Balcony,Dining Area,Hot Water",,,,,,,,,,,,
"₦ 3,500,000","Lagos, Lekki, Ikota",Apartment,3 bedrooms,3 bathrooms,per quarter,Lekki County,Lekki County,,Fairly Used,Unfurnished,,,,,,,,,,,,,,
"₦ 650,000","Lagos, Ipaja",Bungalow,3 bedrooms,3 bathrooms,per annum,Baruwa Ipaja,Baruwa Ipaja,600 sqm,Fairly Used,Semi-Furnished,No Pets,"24 Hours Electricity,Kitchen Cabinets,Pre Paid Meter,Balcony,Dining Area,Tiled Floor",,,,,,,,,,,,
"₦ 7,000,000","Borno, Guzamala",Block of Flats,3 bedrooms,4 bathrooms,per annum,Guzape,Guzape,1500 sqm,Newly Built,Semi-Furnished,Pets Allowed,"24 Hours Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Dishwasher,Pop Ceiling,Refrigerator,Pre Paid Meter,Tiled Floor,Wardrobe",,,,,,,,,,,,
"₦ 1,800,000","Lagos, Ibeju",Block of Flats,3 bedrooms,4 bathrooms,per annum,Thar Anex sangotedo,Thar Anex,600 sqm,Newly Built,Unfurnished,No Pets,"Kitchen Shelf,Kitchen Cabinets,Hot Water,Pop Ceiling,Tiled Floor,Balcony",Yes,10.0,10.0,10.0,,,,,,,,
"₦ 800,000","Enugu, Enugu / Enugu State",Block of Flats,3 bedrooms,4 bathrooms,per quarter,newheaven extension,newheaven extension,600 sqm,Newly Built,Semi-Furnished,,"Apartment,Balcony,Kitchen Shelf,Chandelier,Wardrobe,24 Hours Electricity,Pop Ceiling,Kitchen Cabinets,Dining Area",,,,,,,,,,,,
"₦ 200,000",none,Block of Flats,3 bedrooms,3 bathrooms,per annum,auchi sabo power line,no name,100 sqm,Fairly Used,Unfurnished,Pets Allowed,"Kitchen Cabinets,Wardrobe,Tiled Floor,Balcony,24 Hours Electricity,Apartment,Kitchen Shelf",Yes,10000.0,10000.0,5000.0,,,,,,,,
"₦ 15,000,000","Lagos, Ikoyi",Apartment,3 bedrooms,4 bathrooms,per annum,Off 2nd Avenue,Banana Island,,Fairly Used,Semi-Furnished,,,,,,,,,,,,,,
"₦ 1,300,000","Lagos, Lekki, Lekki Phase 2",Apartment,3 bedrooms,4 bathrooms,per annum,LBS,LBS,,Newly Built,Semi-Furnished,,"Hot Water,Pre Paid Meter,Tiled Floor,24 Hours Electricity,Dishwasher,Wardrobe,Pop Ceiling,Balcony,Kitchen Cabinets,Chandelier,Apartment,Dining Area",,,,,,,,,,,,
"₦ 2,000,000","Lagos, Lekki, Ikota",Apartment,3 bedrooms,3 bathrooms,per annum,3bedroom apartment for rent,,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 5,000,000","Lagos, Victoria Island",House,3 bedrooms,4 bathrooms,anually,,,,,Unfurnished,,,,,,,,3.0,Yes,,,,,
"₦ 3,500,000","Lagos, Lekki, Ologolo",Apartment,3 bedrooms,3 bathrooms,per annum,3bedroom flat/apartment for rent,,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 700,000","Imo, Owerri",Apartment,3 bedrooms,3 bathrooms,per annum,"Saga Suite, New Owerri, Imo State",,,Fairly Used,Semi-Furnished,,"Apartment,Balcony,Tiled Floor,Pop Ceiling,Dining Area,Hot Water,Pre Paid Meter",,,,,,,,,,,,
"₦ 2,500,000",none,Townhouse/Terrace,3 bedrooms,4 bathrooms,per annum,Even estate badore,Even estate,,Newly Built,Furnished,Pets Allowed,24 Hours Electricity,Yes,10.0,10.0,150.0,,,,,,,,
"₦ 3,000,000","Lagos, Lekki",Apartment,3 bedrooms,4 bathrooms,per annum,"Off Freedom way , Lekki",off freedom way Lekki,,,Semi-Furnished,,"Kitchen Shelf,Kitchen Cabinets,Tiled Floor,Microwave,Balcony,Dining Area,Apartment,Pre Paid Meter,Pop Ceiling,Dishwasher,Chandelier,Wardrobe,Hot Water",Yes,,,,,,,,,,,
"₦ 700,000",none,Apartment,3 bedrooms,2 bathrooms,per annum,"idowu estate,adewumi adegbesan strt,fit global school Ajah",idowu estate,1000 sqm,Fairly Used,Unfurnished,No Pets,"Pre Paid Meter,Hot Water,Apartment,Wardrobe,Kitchen Cabinets,Tiled Floor",,,,,,,,,,,,
"₦ 1,000,000","Lagos, Ajah, Sangotedo",Block of Flats,3 bedrooms,4 bathrooms,per annum,Sharp 3 bedroom flat at Silver Land Estate sangotedo,Silver Land Estate Sangotedo,,Fairly Used,Furnished,,,,,,,,,,,,,,
"₦ 400,000","Lagos, Ipaja",Apartment,3 bedrooms,4 bathrooms,per annum,Bada area Ayobo.,,,Newly Built,Furnished,Pets Allowed,"Kitchen Cabinets,Kitchen Shelf,Balcony,Tiled Floor,Wardrobe,Dining Area",Yes,100000.0,100000.0,50000.0,,,,,,,,
"₦ 1,500,000","Lagos, Ajah",Duplex,3 bedrooms,4 bathrooms,per quarter,sangoterdo,around blanco,,,Unfurnished,,,,,,,,,,,,,,
"₦ 500,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,Nibo,,450 sqm,Newly Built,Unfurnished,No Pets,"Dining Area,24 Hours Electricity,Pop Ceiling,Balcony,Wardrobe,Tiled Floor",,50000.0,50000.0,,,,,,,,,
"₦ 700,000","Imo, Owerri",Apartment,3 bedrooms,4 bathrooms,per annum,"Saga Suite, New Owerri, Imo State",,,Fairly Used,Furnished,,"Dining Area,Pre Paid Meter,Tiled Floor,Kitchen Shelf,Balcony,Apartment,Wardrobe,Kitchen Cabinets,Pop Ceiling",,,,,,,,,,,,
"₦ 12,000,000","Lagos, Ikoyi",Apartment,3 bedrooms,3 bathrooms,anually,Banana Island,,,Newly Built,Furnished,,,,,,,Standard,3.0,Yes,,,,,
"₦ 1,300,000","Lagos, Lekki, Lekki Phase 2",Apartment,3 bedrooms,4 bathrooms,per annum,Prime way,Lekki Scheme 2,,Fairly Used,Semi-Furnished,,,,,,,,,,,,,,
"₦ 10,000,000","Lagos, Victoria Island, Victoria Island Extension",Block of Flats,3 bedrooms,4 bathrooms,per annum,Off Adeola Odeku,,,Newly Built,Semi-Furnished,,"Dining Area,Tiled Floor,Chandelier,24 Hours Electricity,Pre Paid Meter,Pop Ceiling,Balcony,Apartment,Hot Water,Wardrobe,Kitchen Shelf,Kitchen Cabinets,Dishwasher",Yes,,,,,,,,,,,
"₦ 400,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,umuoramma by capital city Awka.,,450 sqm,Newly Built,Unfurnished,,"Wi-Fi,24 Hours Electricity,Wardrobe,Tiled Floor",,48000.0,80000.0,,,,,,,,,
"₦ 600,000",none,Apartment,3 bedrooms,4 bathrooms,per annum,first mkt Ifite,,450 sqm,Newly Built,Unfurnished,,"Balcony,Wardrobe,Wi-Fi,Dining Area,Kitchen Cabinets,24 Hours Electricity",,60000.0,50000.0,,,,,,,,,
"₦ 400,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,Aguoye Estate by ziks Avenue Awka,,450 sqm,Newly Built,Unfurnished,No Pets,,,50000.0,,,,,,,,,,
"₦ 1,000,000","Lagos, Isolo, Okota",Shared Apartment,3 bedrooms,3 bathrooms,per quarter,ago palace way okota Lagos,peace estate,,Fairly Used,Semi-Furnished,Pets Allowed,"Pre Paid Meter,24 Hours Electricity,Kitchen Cabinets,Wardrobe",,,,,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Lekki Phase 1",Penthouse,3 bedrooms,3 bathrooms,per annum,lekki,lekki,,Fairly Used,Semi-Furnished,,"Wardrobe,Pop Ceiling,Tiled Floor,Kitchen Shelf,Microwave,Pre Paid Meter,Air Conditioning,Kitchen Cabinets,24 Hours Electricity,Balcony,Hot Water,Dining Area",Yes,600000.0,600000.0,,,,,,,,,
"₦ 4,000,000","Lagos, Lekki, Lekki Phase 1",Apartment,3 bedrooms,4 bathrooms,per annum,"Lekki 1, Lagos",Off Admitlraty way,,Renovated,Semi-Furnished,,"Kitchen Shelf,Wardrobe,Balcony,Pop Ceiling,Kitchen Cabinets,Hot Water,Tiled Floor,Dining Area,Chandelier,Pre Paid Meter",,,,,,,,,,,,
"₦ 1,700,000","Lagos, Amuwo-Odofin",Apartment,3 bedrooms,3 bathrooms,per annum,Amuwo odofin,,,Newly Built,Unfurnished,Pets Allowed,"Pre Paid Meter,Chandelier,Dining Area,Kitchen Cabinets,Wardrobe,24 Hours Electricity,Balcony,Hot Water,Kitchen Shelf,Apartment,Pop Ceiling,Tiled Floor",,,,,,,,,,,,
"₦ 2,600,000","Lagos, Lekki",Apartment,3 bedrooms,4 bathrooms,per annum,orchid hotel road,orchid road not far inside,,,Semi-Furnished,,"Tiled Floor,Chandelier,Pop Ceiling,Dining Area,Kitchen Shelf,Apartment,Pre Paid Meter,Kitchen Cabinets,Wardrobe,Balcony,Dishwasher,Hot Water",,,,,,,,,,,,
"₦ 1,200,000","Lagos, Amuwo-Odofin",Block of Flats,3 bedrooms,3 bathrooms,per annum,Liberty Estate,Liberty,100 sqm,Newly Built,Semi-Furnished,No Pets,"Hot Water,Kitchen Shelf,Air Conditioning,Balcony,Wardrobe,24 Hours Electricity,Apartment,Dining Area,Pre Paid Meter,Tiled Floor,Kitchen Cabinets,Chandelier,Pop Ceiling",,,,,,,,,,,,
"₦ 750,000","Oyo, Egbeda, Egbeda / Egbeda",Block of Flats,3 bedrooms,3 bathrooms,per annum,Egbeda,,,Fairly Used,Semi-Furnished,Pets Allowed,"Tiled Floor,Kitchen Shelf,Kitchen Cabinets,Refrigerator,Apartment,24 Hours Electricity,Wardrobe,Pop Ceiling,Hot Water,Pre Paid Meter",,,,,,,,,,,,
"₦ 600,000",none,Block of Flats,3 bedrooms,2 bathrooms,per annum,"Community Estate ,Trans Ekulu",JKC Real Estate Pro,,Newly Built,Semi-Furnished,No Pets,"Balcony,Tiled Floor,Pre Paid Meter,Dining Area,Wardrobe,Kitchen Shelf,24 Hours Electricity,Kitchen Cabinets,Hot Water",Yes,,,,,,,,,,,
"₦ 2,000,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,4 bathrooms,anually,,,,Fairly Used,Unfurnished,,,,,,,Standard,4.0,Yes,,,,,
"₦ 10,000,000","Lagos, Victoria Island",Apartment,3 bedrooms,3 bathrooms,per annum,Victoria Island,,,,Unfurnished,,"Kitchen Cabinets,Pop Ceiling,Kitchen Shelf,Tiled Floor,24 Hours Electricity",,,,,,,,,,,,
"₦ 400,000","Anambra, Awka",Apartment,3 bedrooms,3 bathrooms,per annum,Okuno Awka,Okpuno Awka,500 sqm,Fairly Used,Unfurnished,Pets Allowed,"Wardrobe,Dining Area,24 Hours Electricity,Balcony,Wi-Fi,Pre Paid Meter,Tiled Floor",Yes,50000.0,50000.0,,,,,,,,,
"₦ 400,000",none,Apartment,3 bedrooms,4 bathrooms,anually,trans nkisi 33,,,Fairly Used,Semi-Furnished,No Pets,"24 Hours Electricity,Balcony,Dining Area",,50000.0,50000.0,,,,,,,,,
"₦ 650,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,book foundation,nil,,Fairly Used,Unfurnished,No Pets,"Hot Water,Dishwasher,Balcony,Refrigerator,Tiled Floor,24 Hours Electricity,Chandelier,Wardrobe,Pop Ceiling,Pre Paid Meter,Air Conditioning,Kitchen Cabinets,Dining Area",Yes,,,,,,,,,,,
"₦ 700,000","Ogun, Obafemi-Owode",Bungalow,3 bedrooms,4 bathrooms,per annum,"Lagos Ibadan Express Way, 3mins from Redemption Camp",Opic - New Makun City,,Newly Built,Semi-Furnished,Pets Allowed,,Yes,70000.0,70000.0,100000.0,,,,,,,,
"₦ 9,000,000","Lagos, Ikoyi",Apartment,3 bedrooms,3 bathrooms,anually,,,,,,,,,,,,,6.0,Yes,,,,Yes,Yes
"₦ 36,000,000","Rivers, Port-Harcourt, GRA Phase 2 / Port-Harcourt",Block of Flats,3 bedrooms,4 bathrooms,per annum,New Gra,,,Fairly Used,Unfurnished,,,,,,,,,,,,,,
"₦ 350,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,ifite Awka,,450 sqm,Newly Built,Unfurnished,No Pets,"Balcony,Wi-Fi,24 Hours Electricity",,50000.0,50000.0,,,,,,,,,
"₦ 2,500,000","Rivers, Port-Harcourt",Flat,3 bedrooms,4 bathrooms,anually,,,,Newly Built,Unfurnished,,,,,,,Standard,3.0,Yes,,,,,
"₦ 600,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,commissioners quarters Awka.,,450 sqm,Newly Built,Unfurnished,Pets Allowed,"Wi-Fi,Wardrobe,Dining Area,24 Hours Electricity,Balcony,Pop Ceiling",,50000.0,70000.0,,,,,,,,,
"₦ 1,000,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,4 bathrooms,anually,,,,Fairly Used,Unfurnished,,,,,,,Standard,3.0,Yes,,,,,
"₦ 600,000",none,Apartment,3 bedrooms,2 bathrooms,per annum,commissioners QTRS Awka,qtrs,450 sqm,Newly Built,Unfurnished,No Pets,"Pre Paid Meter,24 Hours Electricity,Dining Area,Wi-Fi,Tiled Floor,Kitchen Shelf,Pop Ceiling,Wardrobe,Balcony",,60000.0,60000.0,100000.0,,,,,,,,
"₦ 3,000,000","Lagos, Ajah, Lekki Gardens Estate",Duplex,3 bedrooms,3 bathrooms,per annum,abraham adesanya,,,,Semi-Furnished,,,,,,,,,,,,,,
"₦ 3,000,000","Lagos, Lekki",Block of Flats,3 bedrooms,4 bathrooms,per quarter,off fola osibo lekki phase 1,gated estate lekki phase 1,500 sqm,Renovated,Unfurnished,Pets Allowed,"Balcony,Microwave,Pre Paid Meter,Kitchen Cabinets,Pop Ceiling,Tiled Floor,Kitchen Shelf,Refrigerator,Hot Water,Dining Area,Chandelier,Wardrobe",,,,,,,,,,,,
"₦ 10,000,000","Lagos, Victoria Island",Block of Flats,3 bedrooms,4 bathrooms,per annum,Victoria Island,,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,
"₦ 1,300,000","Lagos, Ajah, Canaan Estate",Apartment,3 bedrooms,4 bathrooms,per annum,Lagos business school,LBS,,Fairly Used,Semi-Furnished,,,,,,,,,,,,,,
"₦ 600,000","Lagos, Ipaja, Ayobo",Block of Flats,3 bedrooms,4 bathrooms,per annum,asipa ayobo,,600 sqm,Fairly Used,Furnished,,,,,,,,,,,,,,
"₦ 1,000,000","Lagos, Isolo, Okota",Block of Flats,3 bedrooms,3 bathrooms,per annum,Green Field Estate Amuwo Odofin,Green Field Estate,100 sqm,Newly Built,Semi-Furnished,No Pets,"Tiled Floor,Dining Area,Apartment,24 Hours Electricity,Wardrobe,Air Conditioning,Kitchen Cabinets,Kitchen Shelf,Hot Water,Pre Paid Meter,Balcony,Pop Ceiling",Yes,100000.0,100000.0,100000.0,,,,,,,,
"₦ 4,500,000","Rivers, Port-Harcourt",Duplex,3 bedrooms,4 bathrooms,anually,Old GRA PH,,,Newly Built,Unfurnished,,,,,,,,,,,,,,
"₦ 500,000","Anambra, Awka",Apartment,3 bedrooms,3 bathrooms,per annum,Near Government house axis,Near Government house axis,500 sqm,Newly Built,Unfurnished,No Pets,"Pre Paid Meter,Apartment,Air Conditioning,24 Hours Electricity,Tiled Floor,Hot Water,Dining Area,Wi-Fi,Balcony,Wardrobe,Kitchen Shelf,Kitchen Cabinets",Yes,60000.0,50000.0,,,,,,,,,
"₦ 400,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,Behind UBA by ziks Avenue Awka,,450 sqm,Fairly Used,Unfurnished,Pets Allowed,"Wi-Fi,24 Hours Electricity,Dining Area,Balcony,Pre Paid Meter",,35000.0,50000.0,,,,,,,,,
"₦ 400,000",none,Apartment,3 bedrooms,4 bathrooms,per annum,Aguoye Estate Awka,,550 sqm,Newly Built,Unfurnished,No Pets,"24 Hours Electricity,Dining Area,Wardrobe,Kitchen Cabinets,Pre Paid Meter,Balcony",,55000.0,50000.0,,,,,,,,,
"₦ 1,800,000","Rivers, Port-Harcourt",Apartment,3 bedrooms,4 bathrooms,anually,,,,Newly Built,Unfurnished,,,,,,,,,,,,,,
"₦ 500,000",none,Apartment,3 bedrooms,3 bathrooms,per annum,Amaenyi Awka,,450 sqm,Newly Built,Unfurnished,No Pets,,,50000.0,,,,,,,,,,
"₦ 12,000,000","Lagos, Ikoyi, Banana Island",Apartment,3 bedrooms,3 bathrooms,per quarter,Ikoyi Lagos,Banana island estate ikoyi,,Fairly Used,Semi-Furnished,Pets Allowed,"24 Hours Electricity,Air Conditioning,Dining Area,Balcony,Hot Water,Apartment,Kitchen Shelf,Dishwasher,Microwave,Chandelier",,,,,,,,,,,,
